name,address,experience,skills,sal_from,sal_to
Стажёр - Data Scientist,Москва,Нет опыта,"Обучение и развитие, Аналитика, Системное мышление, Аналитическое мышление, Внутренние коммуникации, Python, Математическая статистика, MS SQL, Data Analysis, Базы данных, Git, Bash, NLP, ML, Machine Learning, Машинное обучение",200000,250000
Data Scientist,Новосибирск,От 1 года до 3 лет,"Python, SQL, ML, A/B тесты",150000,250000
Data Scientist,Казань,От 1 года до 3 лет,"Python, ClickHouse, SQL, Airflow",200000,250000
Эксперт по моделированию и анализу данных / Data Scientist,Москва,От 1 года до 3 лет,"SQL, Git, Python, Анализ данных, Моделирование",300000,310000
Prompt Engineer в Startup-студию (Remote),Московская область,От 1 года до 3 лет,"Python, ML, ML/DS, NLP, OCR, Data Science, LLM, Prompt Engineering, AWS, ML Ops",200000,400000
Data Scientist,Московская область,От 1 года до 3 лет,"Python, Big Data, Machine Learning, NLP, Data Science, ML, SQL, Pandas",200000,250000
CV / ML разработчик,Санкт-Петербург,От 1 года до 3 лет,"CV, mmdet, detectron2, Python, ML, Docret, Tryton",150000,200000
Data-Scientist (международное направление),Новосибирск,От 1 года до 3 лет,"SQL, Python, Big Data, Machine Learning, Работа с базами данных, Математическая статистика, Бизнес статистика",150000,180000
Data Engineer,Москва,От 1 года до 3 лет,"Уверенное владение SQL (аналитические функции, подзапросы, хранимые процедуры/функции, оптимизация производительности) - Обязателено иметь опыт работы с реляционными базами данных (PostgreSQL) - Опыт использования экосистемы Hadoop: HDFS, Spark, Hive - Умение оптимизировать программный код в соответствии с особенностями архитектур хранения данных - Продвинутые аналитические навыки и вариативное видение решения задач - Ориентация на достижение результата, внимательность к деталям, коммуникабельность",130000,160000
Data Scientist Управления модельных рисков и валидации,Санкт-Петербург,От 1 года до 3 лет,"Математическое моделирование, Анализ данных, Статистический анализ, Валидация моделей, Модельный риск, SQL",270000,320000
"ML разработчик, B2B",Московская область,От 3 до 6 лет,"Python, Pyspark, Финансы, IT",300000,320000
Data Scientist (сопровождение процесса разработки и использования моделей),Санкт-Петербург,От 1 года до 3 лет,"Оценка рисков, MS PowerPoint, Статистический анализ, Управление рисками, Математическое моделирование, PD, LGD, EAD, SQL, Портфельные риски, кредитные риски",130000,150000
Data Science,Москва,От 1 года до 3 лет,"SQL, Аналитика, Сбор и анализ информации, Аналитическое мышление, Системный анализ, Анализ данных, SPL, Визуализация, Работа с базами данных, Подготовка презентаций, Работа с большим объемом информации, Базы данных, Страхование",270000,340000
Data Scientist,Новосибирск,От 1 года до 3 лет,"Python, Pandas, SQL",270000,300000
Data Engineer (ETL),Екатеринбург,От 1 года до 3 лет,"ETL, MS SQL Server, ORACLE, ApacheAirflow",150000,200000
Cпециалист-исследователь в области обработки аудиосигналов и текста,Нижний Новгород,От 1 года до 3 лет,"Python, PyTorch, NLP, NER, Machine Learning",130000,160000
